"uSeed","l2.dist","Model","N","phi","T","sim.Seed","Rep","sim.Path","sim.File"
21989,"Gaussian","PoDAR",100,0.4,30,0,2,"simulation-files/sim-files","sim_uSeed-21989_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-2.rds"
21996,"Chi2","PoDAR",100,0.4,30,0,2,"simulation-files/sim-files","sim_uSeed-21996_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-2.rds"
22000,"Gaussian","NAR",100,0.4,30,0,2,"simulation-files/sim-files","sim_uSeed-22000_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-2.rds"
22007,"Chi2","NAR",100,0.4,30,0,2,"simulation-files/sim-files","sim_uSeed-22007_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-2.rds"
23286,"Gaussian","BinAR",100,0.4,100,0,2,"simulation-files/sim-files","sim_uSeed-23286_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds"
23293,"Chi2","BinAR",100,0.4,100,0,2,"simulation-files/sim-files","sim_uSeed-23293_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds"
23297,"Gaussian","Chi2AR",100,0.4,100,0,2,"simulation-files/sim-files","sim_uSeed-23297_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds"
23304,"Chi2","Chi2AR",100,0.4,100,0,2,"simulation-files/sim-files","sim_uSeed-23304_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds"
23308,"Gaussian","DAR",100,0.4,100,0,2,"simulation-files/sim-files","sim_uSeed-23308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds"
23315,"Chi2","DAR",100,0.4,100,0,2,"simulation-files/sim-files","sim_uSeed-23315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds"
23319,"Gaussian","PoDAR",100,0.4,100,0,2,"simulation-files/sim-files","sim_uSeed-23319_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds"
23326,"Chi2","PoDAR",100,0.4,100,0,2,"simulation-files/sim-files","sim_uSeed-23326_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds"
23330,"Gaussian","NAR",100,0.4,100,0,2,"simulation-files/sim-files","sim_uSeed-23330_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds"
23337,"Chi2","NAR",100,0.4,100,0,2,"simulation-files/sim-files","sim_uSeed-23337_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds"
31956,"Gaussian","BinAR",100,0.4,30,0,3,"simulation-files/sim-files","sim_uSeed-31956_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-3.rds"
31963,"Chi2","BinAR",100,0.4,30,0,3,"simulation-files/sim-files","sim_uSeed-31963_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-3.rds"
31967,"Gaussian","Chi2AR",100,0.4,30,0,3,"simulation-files/sim-files","sim_uSeed-31967_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-3.rds"
31974,"Chi2","Chi2AR",100,0.4,30,0,3,"simulation-files/sim-files","sim_uSeed-31974_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-3.rds"
31978,"Gaussian","DAR",100,0.4,30,0,3,"simulation-files/sim-files","sim_uSeed-31978_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-3.rds"
31985,"Chi2","DAR",100,0.4,30,0,3,"simulation-files/sim-files","sim_uSeed-31985_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-3.rds"
31989,"Gaussian","PoDAR",100,0.4,30,0,3,"simulation-files/sim-files","sim_uSeed-31989_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-3.rds"
31996,"Chi2","PoDAR",100,0.4,30,0,3,"simulation-files/sim-files","sim_uSeed-31996_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-3.rds"
32000,"Gaussian","NAR",100,0.4,30,0,3,"simulation-files/sim-files","sim_uSeed-32000_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-3.rds"
32007,"Chi2","NAR",100,0.4,30,0,3,"simulation-files/sim-files","sim_uSeed-32007_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-3.rds"
33286,"Gaussian","BinAR",100,0.4,100,0,3,"simulation-files/sim-files","sim_uSeed-33286_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds"
33293,"Chi2","BinAR",100,0.4,100,0,3,"simulation-files/sim-files","sim_uSeed-33293_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds"
33297,"Gaussian","Chi2AR",100,0.4,100,0,3,"simulation-files/sim-files","sim_uSeed-33297_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds"
33304,"Chi2","Chi2AR",100,0.4,100,0,3,"simulation-files/sim-files","sim_uSeed-33304_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds"
33308,"Gaussian","DAR",100,0.4,100,0,3,"simulation-files/sim-files","sim_uSeed-33308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds"
33315,"Chi2","DAR",100,0.4,100,0,3,"simulation-files/sim-files","sim_uSeed-33315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds"
33319,"Gaussian","PoDAR",100,0.4,100,0,3,"simulation-files/sim-files","sim_uSeed-33319_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds"
33326,"Chi2","PoDAR",100,0.4,100,0,3,"simulation-files/sim-files","sim_uSeed-33326_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds"
33330,"Gaussian","NAR",100,0.4,100,0,3,"simulation-files/sim-files","sim_uSeed-33330_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds"
33337,"Chi2","NAR",100,0.4,100,0,3,"simulation-files/sim-files","sim_uSeed-33337_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds"
41956,"Gaussian","BinAR",100,0.4,30,0,4,"simulation-files/sim-files","sim_uSeed-41956_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-4.rds"
41963,"Chi2","BinAR",100,0.4,30,0,4,"simulation-files/sim-files","sim_uSeed-41963_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-4.rds"
